,playerID,nameFirst,nameLast,yearID,G,AB,R,H,2B,3B,HR,RBI,BB,BA,TOTB,SLG,OBP,OPS,RBI/AB,HR/G,R/G,BABIP,Cluster,Total
17010,dobyla01,Larry,Doby,1954,1,1,1,0,0,0,1,1,1,0,1,0,0,0,1,1,0,0,2,9
27374,baineha01,Harold,Baines,1989,0,0,0,1,1,0,0,0,1,1,1,1,1,1,0,0,0,1,2,9
13636,hermabi01,Billy,Herman,1935,1,1,1,1,1,0,0,0,0,1,1,0,0,0,0,0,1,1,1,9
22396,dietzdi01,Dick,Dietz,1970,0,0,0,0,1,0,0,1,1,0,1,1,1,1,1,0,0,1,2,9
33052,snowjt01,J. T.,Snow,1997,1,0,0,0,1,0,1,1,1,0,1,0,1,1,1,0,0,0,2,9
35196,sexsori01,Richie,Sexson,2001,1,1,1,0,0,0,1,1,0,0,1,1,0,0,1,1,0,0,2,9
19186,bouched01,Ed,Bouchee,1957,1,1,0,1,1,1,0,0,1,0,1,0,1,0,0,0,0,1,1,9
27079,wilsowi02,Willie,Wilson,1980,1,1,1,1,0,1,0,0,0,1,1,0,0,0,0,0,1,1,1,9
41656,andujmi01,Miguel,Andujar,2018,0,1,1,1,1,0,1,1,0,1,1,1,0,0,0,0,0,0,1,9
6754,murphda01,Danny,Murphy,1909,0,1,0,1,1,1,1,1,0,0,1,1,0,0,0,1,0,0,1,9
6755,murphda02,Danny,Murphy,1909,0,1,0,1,1,1,1,1,0,0,1,1,0,0,0,1,0,0,1,9
8237,oakesre01,Rebel,Oakes,1914,0,1,1,1,0,0,1,1,0,1,1,0,0,0,0,1,1,0,1,9
33887,rodrial01,Alex,Rodriguez,2009,0,0,0,0,0,0,1,1,1,0,0,1,1,1,1,1,1,0,2,9
6756,murphda04,Danny,Murphy,1909,0,1,0,1,1,1,1,1,0,0,1,1,0,0,0,1,0,0,1,9
13103,bergewa01,Wally,Berger,1930,1,0,0,0,0,1,1,1,0,0,1,1,0,1,1,1,0,0,2,9
11398,bottoji01,Jim,Bottomley,1923,0,0,0,1,1,1,0,1,0,1,1,1,0,1,0,0,0,1,2,9
18375,templjo01,Johnny,Temple,1959,0,1,1,1,1,1,0,0,1,1,1,0,0,0,0,0,1,0,1,9
40592,segurje01,Jean,Segura,2016,0,1,1,1,1,1,0,0,0,1,1,0,0,0,0,0,1,1,1,9
33882,rodrial01,Alex,Rodriguez,2004,0,1,1,1,0,0,1,1,1,0,1,0,0,0,0,1,1,0,1,9
30600,anderbr01,Brady,Anderson,1997,0,1,1,1,1,1,0,0,1,0,1,0,1,0,0,0,1,0,1,9
21821,cardejo02,Jose,Cardenal,1975,0,1,1,1,1,0,0,0,1,1,1,0,1,0,0,0,0,1,1,9
33877,rodrial01,Alex,Rodriguez,1999,0,0,1,0,0,0,1,1,0,0,1,1,0,1,1,1,1,0,2,9
19462,floodcu01,Curt,Flood,1963,0,1,1,1,1,1,0,0,0,1,1,0,0,0,0,0,1,1,1,9
